trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,,,,
0,0,0,0,10,23.8729384,23.8729384,0.1384398,0.085714286,0.278571429,1,0,0,4.0990049,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
1,0,1,0,10,28.0149664,28.0149664,0.0833028,-0.214285714,0.362857143,1,0,0,2.3834173,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
4,0,4,0,10,34.5957968,34.5957968,0.1071884,-0.46,-0.085714286,1,0,0,1.7972677,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
7,0,7,0,10,40.7769698,40.7769698,0.1411421,0.102857143,0.174285714,1,0,0,3.0630666,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
10,0,10,0,10,48.6410606,48.6410606,0.0866818,-0.35,0.282857143,1,0,0,2.5022155,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
12,0,12,0,10,52.7889347,52.7889347,0.0757235,0.001428571,-0.101428571,1,0,0,1.7084573,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
13,0,13,0,10,54.6067882,54.6067882,0.0858392,0.341428571,-0.462857143,1,0,0,2.5041058,    ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
16,0,16,0,10,60.4863955,60.4863955,0.0589994,0.082857143,-0.234285714,1,0,0,2.162922,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
17,0,17,0,10,62.7527063,62.7527063,0.082343,0.297142857,0.465714286,1,0,0,2.4199935,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
18,0,18,0,10,65.2684963,65.2684963,0.0927189,-0.04,0.298571429,1,0,0,1.1667258,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
19,0,19,0,10,66.603099,66.603099,0.1238454,0.411428571,-0.16,1,0,0,2.126459,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
