trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,Fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,,,,
37,0,37,0,10,65.11360108,65.11360108,0.017953583,0.27,0.116666667,1,0,0,1.441190792,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
38,0,38,0,10,66.57431467,66.57431467,0.017249083,-0.037777778,-0.243333333,1,0,0,1.313839792,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
39,0,39,0,10,67.90729708,67.90729708,0.016958375,0.375555556,-0.088888889,1,0,0,1.204475667,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
42,0,42,0,10,71.47958588,71.47958588,0.017762083,0.193333333,-0.463333333,1,0,0,2.242465917,     ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
43,0,43,0,10,73.74182983,73.74182983,0.017616792,-0.272222222,0.483333333,1,0,0,2.136703583,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
44,0,44,0,10,75.898585,75.898585,0.017676,0.337777778,0.437777778,1,0,0,1.263658292,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
45,0,45,0,10,77.18281079,77.18281079,0.017662208,0.281111111,0.356666667,1,0,0,1.34655675,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
46,0,46,0,10,78.54973075,78.54973075,0.017764875,-0.058888889,0.044444444,1,0,0,1.122246833,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
50,0,50,0,10,83.18100929,83.18100929,0.018191625,0.412222222,-0.465555556,1,0,0,2.331834375,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
54,0,54,0,10,89.59668458,89.59668458,0.017800167,0.102222222,-0.134444444,1,0,0,1.266035333,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
